author,stars,comment
"s*****_",5,"Skin Suitability:untuk jerawat Absorption:cepat meresap  Bli masa tgh live bolehlah hrga murah sikit...dh 3 botol guna skintific nie..alhamsulillah sesuai dgn kulit sy ..dan dia jimat 3 bulan bru habis"
"zara_zah05",5,"Absorption:good Skin Suitability:cantik  Bru nak try… btw cantik ouh packaging dia . 🤭mantap… nnti nak refill lgi klu ok ngn muka sendri k"
"w*****i",5,"Skin Suitability:good for me oily skin Absorption:fast  Dengan harga 55 ringgit dpt bnyk ni mmg berbaloii. Sale 11.11. memang dh pernah pakai. Best. Repeat utk mak n diri sdri. Tqqq"
"t*****a",5,"Absorption:fast absorp Skin suitability:suitable with my skin, dry skin type  Repeated so many times!! Thank you 🫶🏻 Beli online size besar lebih murah dr beli kat store dgn size yg kecik"
"shakilazen92",5,"Skin Suitability:dry skin Absorption:super fast  I use this moisturiser since last year and a repeated customer. Very smooth and easily absorbed into skin."
"i*****w",5,"Absorption:fast Skin Suitability:good  Really takes away the redness on my skin almost immediately especially the active inflammation around my active acne.   Only thing is it contains silicones"
"n*****r",5,"Absorption:fast Skin Suitability:dry skin  I have a dry skin, this is the only moisturizer i can use without getting my foundation crack. Have good and fast absorption, it is gel like. The 80g bottle worth more than the 30g and last around 2 months i think. It’s very hard to know if it’s about to finish or not bcs the bottle is opaque."
"shasya349",5,"Sudah sampai.. mosturizer sangat berkesan bagi saya.. muka saya breakout teruk sebelom ni,lepas pakai mosturizer ni,terus hilang dan licin muka saya.. harga berbaloi sebab dapat baucer.. beli time live or ade baucar baru best🫰🏻"
"p*****a",5,"Skin Suitability:great Absorption:great  Very moisture and absorp fast, good to have big bottle now"
"k*****a",5,"Fast delivery as usual Texture is light and moisture Is good"
"azreenromano",5,"Absorption:good Skin Suitability:all skin type  Pestime nak try. Beli time 9.9  Murah betul. Terus grab. Delivery ponn laju. Sehari je dah sampai. Kulit normal to dry. Harap boleh cantik kan skin barrier"
"p*****4",5,"Very moisturizing yet lightweight. Absorbs quickly without feeling sticky. My skin feels calmer and more hydrated after use."
"k*****7",5,"Saiz yang lebih besar . Cepat meresap dan sangat sesuai untuk my skin Yang sensitive"
"m*****d",5,"Absorption:well absorbed and no oily residue on the skin Skin Suitability:suitable for my dry skin  First-time buying this product from China for my wife. Suitable for her dry skin and she enjoys using it. Recommended products and seller. Will buy again in the future."
"kamaliahlia917",5,"Skin Suitability:sesuai dengan kulit yang berjerawat atau skin barrier rosak  Barang sampai dengan selamat"
"r*****n",5,"MOIST PALING ON TOP 💯bekas yang ke 4 repeat paling menjadi . kali ni shopim bekas besar untuk tahan lebih lama . love SKINTIFIC 🩵🩵🩵"
"m*****3",5,"Brought a small bottle before, good to use. Fast adsorption , no greasy but moisture and soft after apply.  Repeat buy bigger bottle."
"l*****t",5,"Done receive. All in good condition and function as well. Very good price and save money. Good quality and fast delivery. Can repeat again, tq sellerr !!"
"k*****7",5,"Terima kasih seller.. Penghantaran yang sangat pantas & packing pun kemas.. harga lagi murah beli online.. 👍r"
"k*****i",5,"Skin Suitability:very suitable to dry skin Absorption:very good  Very good to dry skin, bought this again many times"
"asniahara91",5,"Absorption:baik Skin Suitability:sesuai  Krim ni banyak membantu, sesuai dgn kulit saya, penghntrn CPT terbaik tq.hrga Pon sgt berbaloi sebab beli time promosi .best giler tq"
"c*****i",5,"nice texture. ringan apply kat muka. takde bau apa2 yg kurang menyenangkan. skin pun okay"
"m*****o",5,"Packed neatly. Have repeat order for the fourth time. The effect is just average. But cause any serious issue on my skin."
"batrisyiadhaniyah",5,"for dry skin sangat sesuai ya…. barang sampai dengan elok…"
"u*****i",5,"Texture:lightweight and fast absorb. Skin Type:not sure.  item received faster in good condition with well packaging. Smoothly and fast to absorb ."
"chien0228",5,"Good product 👍👍👍👍 good quality 👍👍👍buy many time from this brand already 👍will keep buying"
"a*****_",5,"Absorb quickly and skin smooth sangat after pakai. Jerawat pun cepat kecut"
"fwj5cg16xq",5,"Texture:moisture is good Skin Type:okay for combination skin  Parcel received safely. All item are good.Recommendell and will buy again.Tq seller."
"s*****g",5,"Fast delivery. Fast absorption and moisture, easy to use and no oily"
"evon7871",5,"Received in good condition fast delivery 2days received been order with this seller few times thanks seller"
"c*****_",5,"Absorption:good Skin Suitability:i have combination skin. Texture slightly greasy for me hence I think will be great as night moisturizer"
"nadzirahm",5,"Thank you so much seller, item received in good condition. Good seller 👍🏻"
"l*****k",5,"Skin Suitability:good Absorption:good  Bought the trial pack and had to instantly get this. So light and moisturising. Not oily. Item was well packed and fast delivery. Thank you!"
"h*****i",5,"Absorption:very good Skin Suitability:all skin types  Penghantaran pantas. Save and fast delivery. Thanks for the best products. Baru nak try. Orang kata bagus. Dah apply dekat tangan bestttt. Will repeat order. 👍🏻👍🏻👍🏻"
"jameschow8711",5,"BUNGKUSAN OK! SELLER RESPON! BARANG SAMPAI CEPAT. BELUM BUKAK LAGI NANTI BARU BUKAK."
"j*****i",5,"Effectiveness:good Skin Suitability:good  Second time bought this…but a little bit sticky…"
"heynaddy",5,"Absorption:fast Skin Suitability:good  Best moisturiser ni, mmg pakai mudah serap kat muka. Buat kulit hydrate & glowing. Selalu jadikan day cream. Calit tak perlu banyak dah boleh sapu rata. Beli time live banyak discount. Penghantaran pun laju"
